ITO Alt Name,ITO Name,Office City,Office State,Office Zipcode,Long Office Zipcode,Region
ACL,Acoma-Canoncito-Laguna (ACL),New Laguna,NM,87038,87038,SWRO
Cherokee Nation,Cherokee Nation,Tahlequah,OK,74465,74465,SWRO
Cheyenne River Sioux Tribe,Cheyenne River Sioux Tribe,Eagle Butte,SD,57625,57625,MPRO
Chickasaw Nation,Chickasaw Nation,Ada,OK,74820,74820,SWRO
Choctaw Nation of Oklahoma,Choctaw Nation of Oklahoma,Durant,OK,74701,74701,SWRO
Citizen Potawatomi Nation,Citizen Potawatomi Nation,Shawnee,OK,74801,74801,SWRO
Eastern Band of Cherokee Indians,Eastern Band of Cherokee Indians,Cherokee,NC,28719,28719,SERO
Eastern Shoshone Tribe,Eastern Shoshone Tribe,Fort Washakie,WY,82514,82514,MPRO
Eight Northern Pueblos,Eight Northern Indian Pueblos Council Inc.,Espanola,NM,87532,87532,SWRO
"Five Sandoval Indian Pueblos, Inc.",Five Sandoval Indian Pueblos Inc.,Bernalillo,NM,87004,87004,SWRO
ITCA,"Inter Tribal Council of Arizona, Inc. (ITCA)",Phoenix,AZ,85004,85004,SWRO
ITC Oklahoma,Inter-Tribal Council Inc. of Oklahoma (ITC),Miami,OK,74354,74354,SWRO
Inter-Tribal Council of Nevada,"Inter-Tribal Council of Nevada, Inc. (ITCN)",Reno,NV,89501,89501-2232,WRO
MHA Three Affiliated Tribes,"Mandan, Hidatsa and Arikara Nation (MHA)",New Town,ND,58763,58763,MPRO
Mississippi Band of Choctaw Indians,Mississippi Band of Choctaw Indians,Choctaw,MS,39350,39350,SERO
Muscogee Creek Nation,Muscogee Nation,Okmulgee,OK,74447,74447,SWRO
Navajo Nation,Navajo Nation,Window Rock,AZ,86515,86515,SWRO
Northan Arapahoe,Northern Arapaho Tribe,St. Stephens,WY,82524,82524,MPRO
Omaha Nation,Omaha Tribe of Nebraska,Macy,NE,68039,68039,MPRO
Osage Nation,Osage Nation,Pawhuska,OK,74056,74056,SWRO
Otoe-Missouria Tribe,Otoe-Missouria Tribe,Red Rock,OK,74651,74651,SWRO
Indian Township,Passamaquoddy Tribe Indian Township,Princeton,ME,4668,04668,NERO
Pleasant Point,Passamaquoddy Tribe Pleasant Point,Perry,ME,4667,04667,NERO
Pueblo of Isleta,Pueblo of Isleta,Albuquerque,NM,87105,87105,SWRO
Pueblo of San Felipe,Pueblo of San Felipe,San Felipe,NM,87001,87001,SWRO
Pueblo of Zuni,Pueblo of Zuni,Zuni,NM,87327,87327-0339,SWRO
Rosebud,Rosebud Sioux Tribe,Rosebud,SD,57570,57570-0099,MPRO
Santee Sioux Nation,Santee Sioux Tribe of Nebraska,Niobrara,NE,68760,68760,MPRO
Santo Domingo Tribe,Santo Domingo Tribe,Santo Domingo Pueblo,NM,87052,87052,SWRO
Standing Rock Sioux Tribe,Standing Rock Sioux Tribe,Fort Yates,ND,58538,58538,MPRO
Ute Mountain Ute Tribe,Ute Mountain Ute Tribe,Towaoc,CO,81334,81334,MPRO
WCD,"WCD Enterprises, Inc. (Wichita-Caddo-Delaware)",Anadarko,OK,73005,73005,SWRO
Winnebago,Winnebago Tribe of Nebraska,Winnebago,NE,68071,68071,MPRO
