State,State_Abbr
Acoma-Canoncito-Laguna (ACL),ACL
Cherokee Nation,CHR
Cheyenne River Sioux Tribe,CHRS
Chickasaw Nation of Oklahoma,CHKS
Choctaw Nation,CHCTW
Citizen Potawatomi Nation,CPTW
Eastern Band of Cherokee Indians,EBCI
Eastern Shoshone Tribe,ESH
Eight Northern Pueblos Council Inc.,ENPC
Five Sandoval Indian Pueblos Inc.,FSIP
Inter Tribal Council of Arizona Inc. (ITCA),ITCA
Inter-Tribal Council Inc. of Oklahoma (ITC),ITC
Inter-Tribal Council of Nevada Inc. (ITCN),ITCN
Mandan Hidatsa and Arikara Nation (MHA),MHA
Mississippi Band of Choctaw Indians,MBCI
Muscogee Nation,MSCG
Navajo Nation,NVJ
Northern Arapaho Tribe,NARP
Omaha Tribe of Nebraska,OMAH
Osage Nation,OSAG
Otoe-Missouria Tribe,OTMS
Passamaquoddy Tribe Indian Township,PTIT
Passamaquoddy Tribe Pleasant Point,PTPP
Pueblo of Isleta,PISL
Pueblo of San Felipe,PSF
Pueblo of Zuni,PZUN
Rosebud Sioux Tribe,RST
Santee Sioux Tribe of Nebraska,SAN
Santo Domingo Tribe,SD
Standing Rock Sioux Tribe,SRST
Ute Mountain Ute Tribe,UTE
WCD Enterprises Inc.,WCD
Winnebago Tribe of Nebraska,WIN
